Category,Issue,Platform,Severity,Keywords,Description,Do,Dont,Code Good,Code Bad,Metric,Reference URL
Network,DNS Prefetch and Connection Warmup,All,Medium,dns prefetch warmup connection prewarm latency cold start api,First API call slow due to DNS resolution + TLS handshake overhead,Prefetch DNS and warm connections during splash/onboarding,First real API call incurs 500ms+ DNS + TLS overhead,// OkHttp: client.connectionPool(); // Prewarm: lifecycleScope.launch { okHttpClient.newCall(Request.Builder().url(baseUrl).head().build()).execute() },// First API call takes 800ms: DNS(200ms) + TCP(150ms) + TLS(300ms) + request(150ms),< 200ms first API call,https://square.github.io/okhttp/features/connections/
Scalability,Multi-Module Architecture,Android,Critical,multi module modularization feature core data domain scale team,Monolithic single-module app; merge conflicts; slow builds; can't parallelize,Split into feature/core/domain modules; clear dependency rules; module per feature team,Single :app module with everything; 10 developers all editing same module,// :core:data :core:ui :core:network :feature:home :feature:search :feature:profile; // Each team owns their feature module,// Single :app module; 500 files; every PR conflicts; 8min clean build; can't assign ownership,< 2min incremental build,https://developer.android.com/topic/modularization
Scalability,API Versioning Strategy,All,High,api versioning backward compatible migration deprecated endpoint mobile,Breaking API changes crashing older app versions still in the wild,Version APIs; maintain backward compatibility; force update only for critical changes,Unversioned API; breaking changes affect all users including those who can't update,// api/v2/users; // Server maintains v1 and v2; // App checks minimum version: if (serverMinVersion > appVersion) forceUpdate(),// /api/users changes response format; all apps < v2.0 crash; 40% of users affected,Zero breaking changes,https://developer.android.com/guide/playcore/in-app-updates
Scalability,Feature Flags for Gradual Rollout,All,High,feature flag toggle rollout ab test remote config firebase gradual,Big-bang releases with all features at once; risky deployments,Use feature flags for gradual rollout; A/B testing; instant kill switch,Deploy everything at once; no way to disable broken feature without new release,"if (remoteConfig.getBoolean(""new_checkout_enabled"")) { NewCheckoutScreen() } else { OldCheckoutScreen() }",// Ship new checkout to 100% of users at once; discover bug; 24h to fix and release; all users affected,Gradual rollout per feature,https://firebase.google.com/docs/remote-config
Scalability,Offline-First Data Sync,All,High,offline first sync conflict resolution local database room queue retry,App unusable without internet; loading spinner until network available,Design offline-first; queue mutations; sync when online; resolve conflicts,Show blank screen or error when offline; lose user's unsaved work,// Room as source of truth; queue pending mutations; WorkManager syncs when online; merge conflicts server-side,"// if (!isOnline) showError(""No internet""); // App useless offline; user loses drafted message",Fully functional offline,https://developer.android.com/topic/architecture/data-layer/offline-first
Scalability,Pagination for All Lists,All,High,pagination infinite scroll paging3 cursor offset limit load more,Loading entire dataset into memory; OOM on large lists; slow initial load,Paginate all lists; use cursor-based pagination; load 20 items at a time,SELECT * with no LIMIT; load 10000 items into memory; 5s initial load,val pager = Pager(PagingConfig(pageSize = 20 prefetchDistance = 5)) { pagingSource }.flow.cachedIn(viewModelScope),val items = api.getAllItems() // Returns 10000 items; 5s load; OOM on low memory devices,Load 20 items per page,https://developer.android.com/topic/libraries/architecture/paging/v3-overview
CI/CD,Automated Build Pipeline,All,Critical,ci cd pipeline github actions bitrise fastlane automated build deploy,No CI/CD; manual builds and deploys; human error in releases,Set up automated CI pipeline: lint > test > build > deploy; gate on quality,Manual APK/IPA generation on developer machine; error-prone releases,// .github/workflows/android.yml: on push: run lint > unit test > instrumented test > assemble > deploy to Play Store,// Developer runs ./gradlew assembleRelease manually; forgets to run tests; ships broken build,Fully automated pipeline,https://developer.android.com/studio/publish
CI/CD,Automated Code Quality Gates,All,High,lint detekt ktlint spotless quality gate ci merge block,No code quality enforcement; inconsistent code merged,Block merge on lint errors detekt warnings and test failures,Allow any code to merge regardless of quality; fix later,// CI: ./gradlew detekt ktlintCheck lint testDebugUnitTest; // Fails PR if any issue found,// No quality gates; merge at will; codebase degrades over time; 500+ lint warnings ignored,Zero warnings policy,https://detekt.dev/
CI/CD,Test Coverage Tracking,All,Medium,test coverage jacoco kover lcov report minimum threshold ci,No coverage tracking; unknown how much code is tested,Track coverage with Kover/JaCoCo; set minimum thresholds; fail CI below threshold,No coverage reports; claim 'we have tests' without data,// build.gradle: kover { reports { total { verify { rule { minBound(80) } } } } }; // CI: ./gradlew koverVerify,// No coverage tracking; 15% actual coverage but assumed to be 'good enough',≥ 80% line coverage,https://github.com/Kotlin/kotlinx-kover
Monitoring,Crash Reporting Setup,All,Critical,crash reporting crashlytics sentry bugsnag firebase production monitoring,No crash reporting; bugs discovered from user reviews,Integrate crash reporting from day 1; set up alerts for new crashes,No crash monitoring; discover crashes from 1-star reviews weeks later,FirebaseCrashlytics.getInstance().setUserId(userId); // Plus: non-fatal logging for caught exceptions,// No crash reporting SDK; users see crashes; team unaware until Play Store rating drops,< 0.1% crash rate,https://firebase.google.com/docs/crashlytics
Monitoring,ANR Rate Monitoring,Android,High,anr rate vitals play console monitoring main thread block production,Not monitoring ANR rate in production; bad Play Store ranking,Monitor ANR rate via Play Vitals; set up alerts; target < 0.47%,Ignore Play Console vitals; ANR rate > 2%; bad search ranking,// Firebase Performance + Play Vitals dashboard; alert on ANR rate > 0.47%; fix main thread violations,// Never check Play Console; ANR rate 3.5%; app demoted in Play Store search results,< 0.47% ANR rate,https://developer.android.com/topic/performance/vitals/anr
Monitoring,Performance Monitoring in Production,All,Medium,performance monitoring firebase trace custom metric latency percentile production,Only testing performance on developer device; production varies wildly,Use Firebase Performance or custom traces; monitor p50/p95/p99 latency,Test on high-end device only; users on budget devices see 5s load times,"val trace = Firebase.performance.newTrace(""load_home""); trace.start(); /*...*/ trace.stop()",// No production monitoring; app takes 8s to load on Samsung A14; team unaware,Monitor p95 latency,https://firebase.google.com/docs/perf-mon
Navigation,Deep Link Handling,Android,High,deep link app link uri navigation deferred verify intent,No deep link support; users can't share or bookmark app content,Implement verified App Links; handle deferred deep links for installs,No deep links; sharing sends to website not app; lost users,"// AndroidManifest: <intent-filter autoVerify=""true"">; <data android:scheme=""https"" android:host=""app.example.com"" />; // Handle in NavHost",// No deep links; user shares URL; recipient opens browser instead of app; poor experience,Deep link opens correct screen,https://developer.android.com/training/app-links
Navigation,Push Notification Navigation,All,High,push notification navigation deep link payload click route fcm apns,Push notification opens app but doesn't navigate to relevant screen,Parse notification payload; navigate to correct screen on tap,Tap notification opens home screen; user must manually find content,"// FCM data payload: {""screen"": ""order_detail"" ""id"": ""123""}; // On tap: navController.navigate(OrderDetail(id))",// All notifications open MainActivity; user taps 'Your order shipped' but sees home feed,Notification → correct screen,https://developer.android.com/develop/ui/views/notifications
Storage,DataStore Migration from SharedPreferences,Android,Medium,datastore migration sharedpreferences proto preferences async coroutine,Still using SharedPreferences; I/O on main thread; no type safety,Migrate to DataStore Preferences or Proto; async operations; type safe,SharedPreferences.edit().putString() on main thread; blocks UI during disk write,"val dataStore = context.createDataStore(""settings""); val flow = dataStore.data.map { it[KEY] }; // Async; Flow-based","context.getSharedPreferences(""prefs"" MODE_PRIVATE).edit().putString(""key"" value).apply() // Can block main thread",Async storage access,https://developer.android.com/topic/libraries/architecture/datastore
Permissions,Runtime Permission Best Practices,Android,High,permission runtime request rationale context location camera storage,Requesting all permissions at launch; no rationale; poor UX,Request permissions in context; show rationale before; handle denial gracefully,Request camera + location + storage + contacts all at once on first launch,// Request camera permission only when user taps camera button; show rationale if shouldShowRequestPermissionRationale,// onCreate: requestPermissions(arrayOf(CAMERA LOCATION STORAGE CONTACTS)) // All at once; no context; scary,In-context permission requests,https://developer.android.com/training/permissions/requesting
Localization,RTL Layout Support,All,Medium,rtl layout right to left arabic hebrew bidirectional text direction,App breaks in RTL languages; text overlapping; layouts mirrored wrong,Use start/end instead of left/right; test with RTL pseudolocale; support Bidi text,Hardcoded left/right margins; layout breaks in Arabic/Hebrew,Modifier.padding(start = 16.dp end = 8.dp) // Works for both LTR and RTL,Modifier.padding(PaddingValues(left = 16.dp right = 8.dp)) // Breaks in RTL; text overlaps,Works in RTL languages,https://developer.android.com/develop/ui/views/layout/rtl
Localization,Pluralization and ICU,All,Medium,plural icu message format localization quantity string translation,Naive string concatenation for plurals; wrong in many languages,Use Quantity Strings (plurals) and ICU MessageFormat for proper localization,"""You have "" + count + "" items"" // Wrong in Russian Polish Arabic etc",pluralStringResource(R.plurals.items_count count count) // Handles one few many other,"""You have $count item"" + if (count > 1) ""s"" else """" // Fails for 0 items; wrong in most languages",Correct pluralization,https://developer.android.com/guide/topics/resources/string-resource#Plurals
Background,WorkManager Best Practices,Android,High,workmanager background work periodic oneoff chain constraint retry,Incorrect background work scheduling; tasks fail or drain battery,Use WorkManager with constraints; chain work; handle retries with exponential backoff,AlarmManager setExact for background tasks; custom Services running indefinitely,val work = OneTimeWorkRequestBuilder<SyncWorker>().setConstraints(Constraints.Builder().setRequiredNetworkType(NetworkType.CONNECTED).build()).setBackoffCriteria(BackoffPolicy.EXPONENTIAL 10 TimeUnit.SECONDS).build(),// AlarmManager running every 15min without constraints; drains battery; killed by Doze,Work survives process death,https://developer.android.com/topic/libraries/architecture/workmanager
Background,Foreground Service Compliance,Android,Critical,foreground service type notification android 14 15 compliance background,Foreground services without proper type declaration; rejected on Android 14+,Declare foreground service type; show notification; end service promptly,Foreground service without type; runs indefinitely; violates Android 14+ policy,"<service android:foregroundServiceType=""location"" />; startForeground(NOTIFICATION_ID builder.build())",// startForeground() with no foregroundServiceType; // crashes on Android 14; Play Store rejection,Correct service type declared,https://developer.android.com/develop/background-work/services/foreground-services
Background,Background Task Scheduling iOS,iOS,High,ios background task scheduler bgtaskscheduler fetch processing apprefresh,iOS background tasks not properly scheduled; killed by system,Use BGTaskScheduler for background work; register identifiers; handle expiration,URLSession.dataTask in applicationDidEnterBackground; killed after 30s,"BGTaskScheduler.shared.register(forTaskWithIdentifier: ""refresh"" using: nil) { task in /*...*/ task.setTaskCompleted(success: true) }",// Timer.scheduledTimer in background; killed by iOS; no data refresh while suspended,Background refresh works,https://developer.apple.com/documentation/backgroundtasks
Analytics,Event Tracking Architecture,All,Medium,analytics event tracking firebase amplitude mixpanel architecture pattern,Ad-hoc analytics scattered through codebase; inconsistent naming; missed events,Create analytics abstraction layer; consistent naming convention; central event catalog,Analytics.track() calls scattered in Views/VMs with inconsistent names,interface AnalyticsTracker { fun track(event: AnalyticsEvent) }; sealed class AnalyticsEvent { data class ScreenView(val name: String) : AnalyticsEvent() },"// Every file: Firebase.analytics.logEvent(""btn_click"" bundleOf(""x"" to y)); // Inconsistent; no catalog; duplicated",Centralized event catalog,https://firebase.google.com/docs/analytics
Analytics,User Properties and Segmentation,All,Medium,analytics user property segment cohort attribute retention engagement,No user segmentation; can't analyze feature usage by cohort,Set user properties for segmentation; track feature adoption by user type,One-size-fits-all analytics; can't tell if paid users vs free use feature differently,"Firebase.analytics.setUserProperty(""plan_type"" ""premium""); setUserProperty(""app_version"" BuildConfig.VERSION_NAME)",// No user properties; can't segment data; 'feature used 1000 times' but by how many users?,Segment by user cohort,https://firebase.google.com/docs/analytics/user-properties
Updates,In-App Update Prompt,Android,Medium,in app update flexible immediate play store prompt version,Users stuck on old versions; no prompt to update,Use Play In-App Updates API; flexible for minor; immediate for critical,No update mechanism; rely on auto-update which many disable,val manager = AppUpdateManagerFactory.create(context); manager.appUpdateInfo.addOnSuccessListener { if (it.updateAvailability() == UPDATE_AVAILABLE) startUpdate(it) },// No update check; users stay on v1.0 for years; miss critical fixes; support burden,< 2 versions behind,https://developer.android.com/guide/playcore/in-app-updates
Updates,Force Update for Critical Fixes,All,High,force update minimum version remote config critical security patch,Critical security or crash fix but users on old versions,Implement minimum version check via Remote Config; force update for security fixes,No force update; critical vulnerability exists but 30% users on unfixed version,"// Remote Config: minimum_version = ""2.1.0""; if (currentVersion < minimumVersion) showForceUpdateDialog()",// Critical security fix in v2.1; 30% users on v2.0; no way to force update; data breach,100% on patched version,https://firebase.google.com/docs/remote-config
Dependencies,Dependency Update Strategy,All,Medium,dependency update renovate dependabot outdated library version bot automated,Dependencies never updated; 2+ years behind; security vulnerabilities,Use Renovate or Dependabot for automated PRs; update monthly; pin versions,Never update deps; 'if it works don't touch it'; 3-year-old libraries with CVEs,"// .github/renovate.json: { ""extends"": [""config:recommended""] ""schedule"": [""every weekend""] }",// dependencies { implementation 'com.squareup.retrofit2:retrofit:2.3.0' } // 5 years old; known CVEs,< 1 minor version behind,https://docs.github.com/en/code-security/dependabot
Dependencies,Transitive Dependency Conflicts,Android,Medium,transitive dependency conflict resolution exclude force version alignment,Conflicting transitive dependency versions causing runtime crashes,Use Gradle dependency constraints; BOM for version alignment; resolve conflicts explicitly,Ignore version conflicts; random ClassNotFoundException at runtime,"// constraints { implementation(""com.google.guava:guava:33.0.0-android"") }; // Or: BOM approach",// Conflicting okio versions: 2.x from retrofit + 3.x from okhttp; ClassNotFoundException at runtime,Zero version conflicts,https://docs.gradle.org/current/userguide/dependency_constraints.html
